,title,hours,videos,exercises,participants,xp,clean,descriptions,tracks,instructors,datasets,prereqs,link,topic,tech
125,Importing & Managing Financial Data in Python,5,16,53,"19,853","4,350",Importing & Managing Financial Data,"Importing & Managing Financial Data in Python
If you want to apply your new 'Python for Data Science' skills to real-world financial data, then this course will give you some very valuable tools.
First, you will learn how to get data out of Excel into pandas and back. Then, you will learn how to pull stock prices from various online APIs like
Google or Yahoo! Finance, macro data from the Federal Reserve, and exchange rates from OANDA. Finally, you will learn how to calculate returns for various time horizons,
analyze stock performance by sector for IPOs, and calculate and summarize correlations.

In this chapter, you will learn how to import, clean and combine data from Excel workbook sheets into a pandas DataFrame. You will also practice grouping data, summarizing information for categories, and visualizing the result using subplots and heatmaps.
You will use data on companies listed on the stock exchanges NASDAQ, NYSE, and AMEX with information on company name, stock symbol, last market capitalization and price, sector or industry group, and IPO year. In Chapter 2, you will build on this data to download and analyze stock price history for some of these companies.
This chapter introduces online data access to Google Finance and the Federal Reserve Data Service through the `pandas` `DataReader`. You will pull data, perform basic manipulations, combine data series, and visualize the results.
In this chapter, you will learn how to capture key characteristics of individual variables in simple metrics. As a result, it will be easier to understand the distribution of the variables in your data set: Which values are central to, or typical of your data? Is your data widely dispersed, or rather narrowly distributed around some mid point? Are there outliers? What does the overall distribution look like?
This chapter introduces the ability to group data by one or more categorical variables, and to calculate and visualize summary statistics for each caategory. In the process, you will learn to compare company statistics for different sectors and IPO vintages, analyze the global income distribution over time, and learn how to create various statistical charts from the seaborn library.",[],"['Stefan Jansen', 'Lore Dirick']","[('Amex listings .csv file', 'https://assets.datacamp.com/production/repositories/993/datasets/2bd8d6c19608fc6f3facbac31021d26a2fcac42f/amex-listings.csv'), ('Income growth .csv file', 'https://assets.datacamp.com/production/repositories/993/datasets/5c79f58382e658b649ed45070976f3c815b69307/income_growth.csv'), ('Listings .xlsx file', 'https://assets.datacamp.com/production/repositories/993/datasets/2dad49608ef2966bcd0fb209bafb3b365271c7c2/listings.xlsx'), ('Nasdaq listings .csv file', 'https://assets.datacamp.com/production/repositories/993/datasets/3e432c89aa85b5782fb16bdc8f16de01699d9885/nasdaq-listings.csv'), ('Per capita income .csv file', 'https://assets.datacamp.com/production/repositories/993/datasets/488a0764add121948fcdc683d29659425f39bfa4/per_capita_income.csv')]","['Introduction to Python', 'Intermediate Python for Data Science']",https://www.datacamp.com/courses/importing-managing-financial-data-in-python,Applied Finance,Python
126,Importing Data in Python (Part 1),3,15,54,"117,438","4,150",Importing Data,"Importing Data in Python (Part 1)
As a data scientist, you will need to clean data, wrangle and munge it, visualize it, build predictive models, and interpret these models. Before you can do so, however, you will need to know how to get data into Python. In this course, you'll learn the many ways to import data into Python: from flat files such as .txt and .csv; from files native to other software such as Excel spreadsheets, Stata, SAS, and MATLAB files; and from relational databases such as SQLite and PostgreSQL.
In this chapter, you'll learn how to import data into Python from all types of flat files, which are a simple and prevalent form of data storage. You've previously learned how to use NumPy and pandas—you will learn how to use these packages to import flat files and customize your imports.
You've learned how to import flat files, but there are many other file types you will potentially have to work with as a data scientist. In this chapter, you'll learn how to import data into Python from a wide array of important file types. These include pickled files, Excel spreadsheets, SAS and Stata files, HDF5 files, a file type for storing large quantities of numerical data, and MATLAB files.
In this chapter, you'll learn how to extract meaningful data from relational databases, an essential skill for any data scientist. You will learn about relational models, how to create SQL queries, how to filter and order your SQL records, and how to perform advanced queries by joining database tables.","['Data Analyst with Python', 'Data Scientist with Python', 'Importing & Cleaning Data with Python', 'Python Programmer']","['Hugo Bowne-Anderson', 'Francisco Castro']","[('Chinook (SQLite)', 'https://assets.datacamp.com/production/repositories/487/datasets/ec8aa8bc9ffea6b4e2729e1a0a2d4aea2f300b3a/Chinook.sqlite'), ('LIGO (HDF5)', 'https://assets.datacamp.com/production/repositories/487/datasets/ab9107b749b832daada36bfaa718d9a591a0d69c/L-L1_LOSC_4_V1-1126259446-32.hdf5'), ('Battledeath (XLSX)', 'https://assets.datacamp.com/production/repositories/487/datasets/5e8897e4624f8577ed0d33aeafbe7bd88bfc424b/battledeath.xlsx'), ('Extent of infectious diseases (DTA)', 'https://assets.datacamp.com/production/repositories/487/datasets/c4129edae533cf2683d8995f6dcdbcf5f41520ba/disarea.dta'), ('Gene expressions (MATLAB)', 'https://assets.datacamp.com/production/repositories/487/datasets/2fc0beea2d8cc7c93d79e79344a6e9e66f65d1fe/ja_data2.mat'), ('MNIST', 'https://assets.datacamp.com/production/repositories/487/datasets/d6d1b84ef06151ff913b4173e2eca8e6d5fa959b/mnist_kaggle_some_rows.csv'), ('Sales (SAS7BDAT)', 'https://assets.datacamp.com/production/repositories/487/datasets/0300d44b3ac77accc4b9706af86e33037bda6861/sales.sas7bdat'), ('Seaslugs', 'https://assets.datacamp.com/production/repositories/487/datasets/07cd090cb965782011a76af72c16b400a5ca5cc0/seaslug.txt'), ('Titanic', 'https://assets.datacamp.com/production/repositories/487/datasets/be79810c4288801167cfb31dbedd396559816ade/titanic_sub.csv')]","['Introduction to Python', 'Intermediate Python for Data Science']",https://www.datacamp.com/courses/importing-data-in-python-part-1,Importing & Cleaning Data,Python
127,Importing Data in Python (Part 2),2,7,29,"68,072","2,400",Importing Data,"Importing Data in Python (Part 2)
As a data scientist, you will need to clean data, wrangle and munge it, visualize it, build predictive models and interpret these models. Before you can do so, however, you will need to know how to get data into Python. In the prequel to this course, you learned many ways to import data into Python: from flat files such as .txt and .csv; from files native to other software such as Excel spreadsheets, Stata, SAS, and MATLAB files; and from relational databases such as SQLite and PostgreSQL. In this course, you'll extend this knowledge base by learning to import data from the web and by pulling data from Application Programming Interfaces— APIs—such as the Twitter streaming API, which allows us to stream real-time tweets.
The web is a rich source of data from which you can extract various types of insights and findings. In this chapter, you will learn how to get data from the web, whether it is stored in files or in HTML. You'll also learn the basics of scraping and parsing web data.
In this chapter, you will gain a deeper understanding of how to import data from the web. You will learn the basics of extracting data from APIs, gain insight on the importance of APIs, and practice extracting data by diving into the OMDB and Library of Congress APIs.
In this chapter, you will consolidate your knowledge of interacting with APIs in a deep dive into the Twitter streaming API. You'll learn how to stream real-time Twitter data, and how to analyze and visualize it.","['Data Analyst with Python', 'Data Scientist with Python', 'Importing & Cleaning Data with Python', 'Python Programmer']","['Hugo Bowne-Anderson', 'Francisco Castro']","[('Latitudes (XLS)', 'https://assets.datacamp.com/production/repositories/488/datasets/b422ace2fceada7b569e0ba3e8d833fddc684c4d/latitude.xls'), ('Tweets', 'https://assets.datacamp.com/production/repositories/488/datasets/3ef452f83a91556ea4284624b969392c0506fb33/tweets3.txt'), ('Red wine quality', 'https://assets.datacamp.com/production/repositories/488/datasets/013936d2700e2d00207ec42100d448c23692eb6f/winequality-red.csv')]","['Introduction to Python', 'Intermediate Python for Data Science', 'Importing Data in Python (Part 1)']",https://www.datacamp.com/courses/importing-data-in-python-part-2,Importing & Cleaning Data,Python
128,Importing Data in R (Part 1),3,11,42,"92,765","3,550",Importing Data in R,"Importing Data in R (Part 1)
Importing data into R should be the easiest step in your analysis. Unfortunately, that is almost never the case. Data can come in many formats, ranging from .csv and text files, to statistical software files, to databases and HTML data. Knowing which approach to use is key to getting started with the actual analysis.
In this course, you’ll start by learning how to read .csv and text files in R. You will then cover the readr and data.table packages to easily and efficiently import flat file data. After that, you will learn how to read .xls files in R using readxl and gdata.
A lot of data comes in the form of flat files: simple tabular text files. Learn how to import the common formats of flat file data with base R functions.
In addition to base R, there are dedicated packages to easily and efficiently import flat file data. We'll talk about two such packages: readr and data.table.
Excel is a widely used data analysis tool. If you prefer to do your analyses in R, though, you'll need an understanding of how to import  .csv data into R. This chapter will show you how to use readxl and gdata to do so.
Beyond importing data from Excel, you can take things one step further with XLConnect. Learn all about it and bridge the gap between R and Excel.","['Data Analyst with R', 'Data Scientist with R', 'Importing & Cleaning Data with R']",['Filip Schouwenaars'],"[('Hotdogs', 'https://assets.datacamp.com/production/repositories/453/datasets/3e5a732b4467c1cbed6a8e8e7a1c9eec3fc86c58/hotdogs.txt'), ('Potatoes (CSV)', 'https://assets.datacamp.com/production/repositories/453/datasets/b47d250de5379914100e28075556fb24e55ca2cd/potatoes.csv'), ('Potatoes (TSV)', 'https://assets.datacamp.com/production/repositories/453/datasets/d78f476c64cf9bc91d4467ff64769afd64d4b450/potatoes.txt'), ('Swimming pools', 'https://assets.datacamp.com/production/repositories/453/datasets/0badb39b50c7daf000698efbca476716db7c1a6f/swimming_pools.csv'), ('Urban population (XLS)', 'https://assets.datacamp.com/production/repositories/453/datasets/ae595b67772d71e79ea9c25897192ba49dcb2b81/urbanpop.xls'), ('Urban population (XLSX)', 'https://assets.datacamp.com/production/repositories/453/datasets/775623dcd2ee9b07bff5b034edba3137bb24b748/urbanpop.xlsx')]",['Introduction to R'],https://www.datacamp.com/courses/importing-data-in-r-part-1,Importing & Cleaning Data,R
129,Importing Data in R (Part 2),3,10,48,"43,872","3,950",Importing Data in R,"Importing Data in R (Part 2)

Many companies store their information in relational databases. The R community has also developed R packages to get data from these architectures. You'll learn how to connect to a database and how to retrieve data from it.
Importing an entire table from a database while you might only need a tiny bit of information seems like a lot of unncessary work. In this chapter, you'll learn about SQL queries, which will help you make things more efficient by performing some computations on the database side.
More and more of the information that data scientists are using resides on the web. Importing this data into R requires an understanding of the protocols used on the web. In this chapter, you'll get a crash course in HTTP and learn to perform your own HTTP requests from inside R.
Importing data from the web is one thing; actually being able to extract useful information is another. Learn more about the JSON format to get one step closer to web domination.
Next to R, there are also other commonly used statistical software packages: SAS, STATA and SPSS. Each of them has their own file format. Learn how to use the haven and foreign packages to get them into R with remarkable ease!","['Data Analyst with R', 'Data Scientist with R', 'Importing & Cleaning Data with R']",['Filip Schouwenaars'],"[('Education equality data', 'https://assets.datacamp.com/production/repositories/454/datasets/c326824a049fa32779b2e06a0b3cab25c0055716/edequality.dta'), ('Employee data', 'https://assets.datacamp.com/production/repositories/454/datasets/7d9358f29b6b1a50c641ca11192d7ca383f7a19f/employee.sav'), ('Florida election data', 'https://assets.datacamp.com/production/repositories/454/datasets/3d5db3972c085c8f9bb99239ddd78f60aeff8300/florida.dta'), ('International socio-economic data', 'https://assets.datacamp.com/production/repositories/454/datasets/9a7178d07a670ab0dd88aa1f4d9d806948acdd43/international.sav'), ('Latitude (XLS)', 'https://assets.datacamp.com/production/repositories/454/datasets/b422ace2fceada7b569e0ba3e8d833fddc684c4d/latitude.xls'), ('Latitude (XLSX)', 'https://assets.datacamp.com/production/repositories/454/datasets/257641a69f9f56700a11be661315e285b6e61091/latitude.xlsx'), ('Big Five data', 'https://assets.datacamp.com/production/repositories/454/datasets/8919ed67a6692ad4474df6414a39f9749b24278e/person.sav'), ('Potatoes', 'https://assets.datacamp.com/production/repositories/454/datasets/3c295cdad28103efca12907eddda0acb15d2a2b8/potatoes.txt'), ('Sales data', 'https://assets.datacamp.com/production/repositories/454/datasets/1ce18d1211c51ef3d083d4e2881c9c056eada5ed/sales.sas7bdat'), ('Swimming pools', 'https://assets.datacamp.com/production/repositories/454/datasets/0badb39b50c7daf000698efbca476716db7c1a6f/swimming_pools.csv'), ('Sugar import data', 'https://assets.datacamp.com/production/repositories/454/datasets/fe0bdbfa768a4dc8ee6414fc40139bf47b60a7fb/trade.dta'), ('Water data', 'https://assets.datacamp.com/production/repositories/454/datasets/c189c407928639e85031c42483743f7edd2d6111/water.csv'), ('Wine data', 'https://assets.datacamp.com/production/repositories/454/datasets/f62786f0dab58bedeefe6af6ee9250a8cd8daa35/wine.RData')]",['Importing Data in R (Part 1)'],https://www.datacamp.com/courses/importing-data-in-r-part-2,Importing & Cleaning Data,R
130,Importing and Managing Financial Data in R,5,15,57,"9,985","4,850",Importing and Managing Financial Data in R,"Importing and Managing Financial Data in R
If you've ever done anything with financial or economic time series, you know the data come in various shapes, sizes, and periodicities. Getting the data into R can be stressful and time-consuming, especially when you need to merge data from several different sources into one data set. This course will cover importing data from local files as well as from internet sources.
A wealth of financial and economic data are available online. Learn how getSymbols() and Quandl() make it easy to access data from a variety of sources.
You've learned how to import data from online sources, now it's time to see how to extract columns from the imported data. After you've learned how to extract columns from a single object, you will explore how to import, transform, and extract data from multiple instruments.
Learn how to simplify and streamline your workflow by taking advantage of the ability to customize default arguments to `getSymbols()`. You will see how to customize defaults by data source, and then how to customize defaults by symbol. You will also learn how to handle problematic instrument symbols.
You've learned how to import, extract, and transform data from multiple data sources. You often have to manipulate data from different sources in order to combine them into a single data set. First, you will learn how to convert sparse, irregular data into a regular series.  Then you will review how to aggregate dense data to a lower frequency. Finally, you will learn how to handle issues with intra-day data.
You've learned the core workflow of importing and manipulating financial data. Now you will see how to import data from text files of various formats. Then you will learn how to check data for weirdness and handle missing values. Finally, you will learn how to adjust stock prices for splits and dividends.","['Finance Basics with R', 'Quantitative Analyst with R']","['Joshua Ulrich', 'Lore Dirick', 'Davis Vaughan']","[('Amazon CSV file', 'https://assets.datacamp.com/production/repositories/389/datasets/ce26cee08d14cb53379495add3045ed98b5e3c66/AMZN.csv'), ('DC data', 'https://assets.datacamp.com/production/repositories/389/datasets/04adfd61735fae4293df91302c83e4fa77ee1a59/DC.RData'), ('UNE CSV file', 'https://assets.datacamp.com/production/repositories/389/datasets/69be01cc2dc9342b822c554dddc07d29c270a41f/UNE.csv'), ('two_symbols CSV file', 'https://assets.datacamp.com/production/repositories/389/datasets/6656e8b791f96452761dc709ceca5c0484994ca9/two_symbols.csv')]","['Introduction to R for Finance', 'Intermediate R for Finance', 'Manipulating Time Series Data in R with xts & zoo']",https://www.datacamp.com/courses/importing-and-managing-financial-data-in-r,Applied Finance,R
131,Improving Query Performance in PostgreSQL,4,15,53,854,"4,300",Improving Query Performance in PostgreSQL,"Improving Query Performance in PostgreSQL
Losing time on slow queries? Hesitant to share your queries with more seasoned coworkers? In this course, you will learn how to structure your PostgreSQL to run in a fraction of the time. Exploring intertwined data relating Olympic participation, country climate, and gross domestic product, you will experience firsthand how changes in filtering method and using subqueries impact query performance. You will learn the properties of a row oriented database while also seeing how Hawaii's volcanos impact air quality. Restructuring your queries with the query planner and the SQL order of operations, you will soon be dazzling your coworkers with your effortless efficiency.
Bundle up as you dive into the Winter Olympics! You will learn how to join, subquery, and create temporary tables while finding which Olympic athletes brave sub-freezing temperatures to train. You will also learn about the query planner and how its functionality can guide your SQL structure to faster queries.
Dig up those past algebra memories while learning the SQL order of operations. Find which countries ""should"" have the most athletes by looking at population and gross domestic product (GDP) while learning the best way to filter. You will also learn when your query aggregates (sums, counts, etc.) and how you can structure your query to optimize this process.
Zero in on the properties that improve database performance. Discover when your table is not a table but a view. Learn how your database's storage structure (row or column oriented) impacts your query structure. You will explore volcanic smog while using partitions and indexes to speed your queries.
Learn the lingo of the Query Lifecycle and dive into the query planner. Explore how the query planner creates and optimizes the query plan. Find your next vacation locale by looking for countries with recent population growth while also seeing how a join impacts the query steps. Fine tune your optimization techniques by seeing how different filters speed your query times.",[],"['Amy McCarty', 'Mona Khalil', 'Becca Robins']","[('GDP', 'https://assets.datacamp.com/production/repositories/4297/datasets/f7b2dc67088b46263792d6358b67b2ac6cee1432/population_gdp_transposed.csv'), ('Olympic Athletes', 'https://assets.datacamp.com/production/repositories/4297/datasets/199f66ce5b9d899a2609284547607078f4908990/olympic_athletes_2016_14.csv'), ('Olympic Regions', 'https://assets.datacamp.com/production/repositories/4297/datasets/64e4e1c14554cbb8cd115485d4301f92f1cbbd17/olympic_regions.csv'), ('AQI', 'https://assets.datacamp.com/production/repositories/4297/datasets/ae89ea124b77507cefe318f6499318571e63a88f/annual_aqi_by_county_2018.csv')]","['Joining Data in SQL', 'Intermediate SQL']",https://www.datacamp.com/courses/improving-query-performance-in-postgresql,Data Manipulation,SQL
132,Improving Query Performance in SQL Server,4,16,58,"1,388","4,450",Improving Query Performance in SQL Server,"Improving Query Performance in SQL Server
A mission critical assignment is depending on your SQL coding skills. You’ve been given some code to fix.  It is giving the results you need but it’s running too slow, and it’s poorly formatted making it hard to read.  The deadline is tomorrow.  You’ll need to reformat the code and try different methods to improve performance.  The pressure is on!!!  In this course we’ll be using SQL on real world datasets, from sports and geoscience, to look at good coding practices and different ways how we can can improve the performance of queries to achieve the same outcome.
In this chapter, students will learn how SQL code formatting, commenting, and aliasing is used to make queries easy to read and understand.  Students will also be introduced to query processing order in the database versus the order of the SQL syntax in a query.
This chapter introduces filtering with WHERE and HAVING and some best practices for how (and how not) to use these keywords. Next, it explains the methods used to interrogate data and the effects these may have on performance.  Finally, the chapter goes over the roles of DISTINCT() and UNION in removing duplicates and their potential effects on performance.
This chapter is an introduction to sub-queries and their potential impacts on query performance.  It also examines the different methods used to determine if the data in one table is present, or absent, in a related table.
Students are introduced to how STATISTICS TIME, STATISTICS IO, indexes, and executions plans can be used in SQL Server to help analyze and tune query performance.",[],"['Dean Smith', 'Mona Khalil', 'Becca Robins', 'Marianna Lamnina']","[('Orders dataset', 'https://assets.datacamp.com/production/repositories/4005/datasets/751fbc814728455952b3f12df8d4bd90abf4696b/Orders.csv'), ('NBAPlayers dataset', 'https://assets.datacamp.com/production/repositories/4005/datasets/f7dc8389514bc1d366e380d76bffc6bfc9be179b/NBAPlayers.csv'), ('NBATeams dataset', 'https://assets.datacamp.com/production/repositories/4005/datasets/c70021a4a78c360198ada1231b45a8521aced7f5/NBATeams.csv'), ('NBAPlayersStatistics dataset', 'https://assets.datacamp.com/production/repositories/4005/datasets/de2a75358e326167eec3a0077dafac33b0f204f5/NBAPlayerStatistics.csv')]",['Intermediate SQL Server'],https://www.datacamp.com/courses/improving-query-performance-in-sql-server,Data Manipulation,SQL
133,Improving Your Data Visualizations in Python,4,15,54,"3,100","4,650",Improving Your Data Visualizations,"Improving Your Data Visualizations in Python
Great data visualization is the cornerstone of impactful data science. Visualization helps you to both find insight in your data and share those insights with your audience. Everyone learns how to make a basic scatter plot or bar chart on their journey to becoming a data scientist, but the true potential of data visualization is realized when you take a step back and think about what, why, and how you are visualizing your data. In this course you will learn how to construct compelling and attractive visualizations that help you communicate the results of your analyses efficiently and effectively. We will cover comparing data, the ins and outs of color, showing uncertainty, and how to build the right visualization for your given audience through the investigation of a datasets on air pollution around the US and farmer's markets. We will finish the course by examining open-access farmers market data to build a polished and impactful visual report.
How do you show all of your data while making sure that viewers don't miss an important point or points? Here we discuss how to guide your viewer through the data with color-based highlights and text. We also introduce a dataset on common pollutant values across the United States.
Color is a powerful tool for encoded values in data visualization. However, with this power comes danger. In this chapter, we talk about how to choose an appropriate color palette for your visualization based upon the type of data it is showing.
Uncertainty occurs everywhere in data science, but it's frequently left out of visualizations where it should be included. Here, we review what a confidence interval is and how to visualize them for both single estimates and continuous functions. Additionally, we discuss the bootstrap resampling technique for assessing uncertainty and how to visualize it properly.
Often visualization is taught in isolation, with best practices only discussed in a general way. In reality, you will need to bend the rules for different scenarios.  From messy exploratory visualizations to polishing the font sizes of your final product; in this chapter, we dive into how to optimize your visualizations at each step of a data science workflow.",['Data Visualization with Python'],"['Nicholas Strayer', 'Hillary Green-Lerman', 'Becca Robins']","[('State populations dataset', 'https://assets.datacamp.com/production/repositories/3841/datasets/f0dbd061f3851ac130cf2f8ad6b3f28f1d19c1fd/census-state-populations.csv'), (""U.S. farmer's markets dataset"", 'https://assets.datacamp.com/production/repositories/3841/datasets/efdbc5d7c7b734f0b091d924605c4ad2664ef830/markets_cleaned.csv'), ('Pollution dataset', 'https://assets.datacamp.com/production/repositories/3841/datasets/a6b11493e11dd47f3e03e0b96e2a2dbc51f03cb2/pollution_wide.csv')]","['Python Data Science Toolbox (Part 1)', 'Python Data Science Toolbox (Part 2)', 'Introduction to Data Visualization with Python', 'Data Visualization with Seaborn']",https://www.datacamp.com/courses/improving-your-data-visualizations-in-python,Data Visualization,Python
134,Inference for Categorical Data,4,14,53,"1,549","4,000",Inference Categorical Data,"Inference for Categorical Data
Categorical data is all around us. It's in the latest opinion polling numbers, in the data that lead to new breakthroughs in genomics, and in the troves of data that internet companies collect to sell products to you. In this course you'll learn techniques for parsing the signal from the noise; tools for identifying when structure in this data represents interesting phenomena and when it is just random noise.
In this chapter you will learn how to perform statistical inference on a single parameter that describes categorical data. This includes both resampling based methods and approximation based methods for a single proportion.
This chapter dives deeper into performing hypothesis tests and creating confidence intervals for a single parameter. Then, you'll learn how to perform inference on a difference between two proportions. Finally, this chapter wraps up with an exploration of what happens when you know the null hypothesis is true.
This part of the course will teach you how to use both resampling methods and classical methods to test for the indepence of two categorical variables. This chapter covers how to perform a Chi-squared test.
The course wraps up with two case studies using election data. Here, you'll learn how to use a Chi-squared test to check goodness-of-fit. You'll study election results from Iran and Iowa and test if Benford's law applies to these datasets.",['Statistical Inference with R'],"['Andrew Bray', 'Nick Solomon', 'Benjamin  Feder', 'Jonathan Ng']","[('GSS data', 'https://assets.datacamp.com/production/repositories/1703/datasets/622fb3f93aa52cac9da874699feb95911eba8abd/gss.RData'), ('Iowa election data', 'https://assets.datacamp.com/production/repositories/1703/datasets/3e73a6c4432671bff5e6f05d340ac1ee41f2ba76/iowa.csv'), ('Iran election data', 'https://assets.datacamp.com/production/repositories/1703/datasets/a777b2366f4e576da5d58fda42f8337332acd3ae/iran.csv')]",['Foundations of Inference'],https://www.datacamp.com/courses/inference-for-categorical-data,Probability & Statistics,R
135,Inference for Linear Regression,4,15,59,"4,145","4,650",Inference Linear Regression,"Inference for Linear Regression
Previously, you learned the fundamentals of both statistical inference and linear models; now, the next step is to put them together.  This course gives you a chance to think about how different samples can produce different linear models, where your goal is to understand the underlying population model.  From the estimated linear model, you will learn how to create interval estimates for the effect size as well as how to determine if the effect is significant.  Prediction intervals for the response variable will be contrasted with estimates of the average response. Throughout the course, you'll gain more practice with the dplyr and ggplot2 packages, and you will learn about the broom package for tidying models; all three packages are invaluable in data science.
In the first chapter, you will understand how and why to perform inferential (instead of descriptive only) analysis on a regression model.
In this chapter you will learn about the ideas of the sampling distribution using simulation methods for regression models.
In this chapter you will learn about how to use the t-distribution to perform inference in linear regression models. You will also learn about how to create prediction intervals for the response variable.
Additionally, you will consider the technical conditions that are important when using linear models to make claims about a larger population.
This chapter covers topics that build on the basic ideas of inference in linear models, including multicollinearity and inference for multiple regression models.",['Statistical Inference with R'],"['Jo Hardin', 'Nick Carchedi', 'Nick Solomon']","[('LA home price data', 'https://assets.datacamp.com/production/repositories/848/datasets/96a4003545f7eb48e1c14b855df9a97ab8c84b1d/LAhomes.csv'), ('NYC restaurant data', 'https://assets.datacamp.com/production/repositories/848/datasets/4ff34a40bd4e636556494f83cf40bdc10c33d49e/restNYC.csv'), ('Twin data', 'https://assets.datacamp.com/production/repositories/848/datasets/84f9e42a9041695d790dfe2b5e1b6e22fc3f0118/twins.csv')]","['Foundations of Inference', 'Multiple and Logistic Regression']",https://www.datacamp.com/courses/inference-for-linear-regression,Probability & Statistics,R
136,Inference for Numerical Data,4,15,49,"3,360","3,650",Inference Numerical Data,"Inference for Numerical Data
In this course, you'll learn how to use statistical techniques to make inferences and estimations using numerical data. This course uses two approaches to these common tasks. The first makes use of bootstrapping and permutation to create resample based tests and confidence intervals. The second uses theoretical results and the t-distribution to achieve the same result. You'll learn how (and when) to perform a t-test, create a confidence interval, and do an ANOVA!
In this chapter you'll use bootstrapping techniques to estimate a single parameter from a numerical distribution.
In this chapter you'll use Central Limit Theorem based techniques to estimate a single parameter from a numerical distribution. You will do this using the t-distribution.
In this chapter you'll extend what you have learned so far to use both simulation and CLT based techniques for inference on the difference between two parameters from two independent numerical distributions.
In this chapter you will use ANOVA (analysis of variance) to test for a difference in means across many groups.",['Statistical Inference with R'],"['Mine Cetinkaya-Rundel', 'Nick Carchedi', 'Nick Solomon']","[('Chp1-vid1-boot-dist-noaxes-parantheses', 'https://assets.datacamp.com/production/repositories/846/datasets/dc24f53d92a90863666f2e47827049caff156ccd/chp1-vid1-boot-dist-noaxes-parantheses.png'), ('Chp1-vid1-bootsamp-bootpop.001', 'https://assets.datacamp.com/production/repositories/846/datasets/641ae10cf7121130f50eb499f8daf2a7412c608d/chp1-vid1-bootsamp-bootpop.001.png'), ('Chp1-vid1-manhattan-rents', 'https://assets.datacamp.com/production/repositories/846/datasets/5b08f701debd264bf33d50ca7771617547516948/chp1-vid1-manhattan-rents.png'), ('Chp1-vid2-boot-dist-withaxes', 'https://assets.datacamp.com/production/repositories/846/datasets/28abc3cfc4421c4c000b460783cbadf28b695fa7/chp1-vid2-boot-dist-withaxes.png'), ('Chp1-vid2-perc-method.001', 'https://assets.datacamp.com/production/repositories/846/datasets/b56d4018323b33273a967acf0e0c6c56ad00a10e/chp1-vid2-perc-method.001.png'), ('Chp1-vid2-perc-method.002', 'https://assets.datacamp.com/production/repositories/846/datasets/36b43cc273e9fe611f2dd1a30973e9eda65fa861/chp1-vid2-perc-method.002.png'), ('Chp1-vid3-boot-test.001', 'https://assets.datacamp.com/production/repositories/846/datasets/4b5aa2f1d1d29d48ceb141df373313d2d26854c0/chp1-vid3-boot-test.001.png'), ('Chp3-vid3-hrly-rate-citizen-smaller', 'https://assets.datacamp.com/production/repositories/846/datasets/53b1c749b8fb60eeb1efc53fbbed5ac92d4a2e23/chp3-vid3-hrly-rate-citizen-smaller.png'), ('Chp3-vid3-hrly-rate-citizen', 'https://assets.datacamp.com/production/repositories/846/datasets/53b1c749b8fb60eeb1efc53fbbed5ac92d4a2e23/chp3-vid3-hrly-rate-citizen.png'), ('Chp4-vid1-class-bar', 'https://assets.datacamp.com/production/repositories/846/datasets/88de2cfbf76339e941b124df6bff1ad656f4bca8/chp4-vid1-class-bar.png'), ('Chp4-vid1-wodrsum-hist', 'https://assets.datacamp.com/production/repositories/846/datasets/5f946e0df3d682b4b92db4044cacd7bb08177409/chp4-vid1-wodrsum-hist.png'), ('Gss moredays', 'https://assets.datacamp.com/production/repositories/846/datasets/408f7effbe5b0ef743439636d9aae9aa27a149aa/gss_moredays.csv'), ('GSS data', 'https://assets.datacamp.com/production/repositories/846/datasets/1c0f04aae31ed37d453234a2b373315609492a7e/gss_wordsum_class.csv'), ('Manhattan rent data', 'https://assets.datacamp.com/production/repositories/846/datasets/bd62fb71666052ffe398d85e628eae9d0339c9c4/manhattan.csv'), ('Runners.001', 'https://assets.datacamp.com/production/repositories/846/datasets/7903500ef451067b1df953ec4f340d21beb55e92/runners.001.png'), ('Tdistcomparetonormaldist', 'https://assets.datacamp.com/production/repositories/846/datasets/9ef15957c776618902282d81ba7b9612d8cbbb72/tDistCompareToNormalDist.png')]",['Foundations of Inference'],https://www.datacamp.com/courses/inference-for-numerical-data,Probability & Statistics,R
